Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rctch,Rdrs,Rdrs/yr,RszC,RsbC,RerC,RF/9,RF/G,PB,WP,SB,CS,CS%
28,Travis d'Arnaud\darnatr01,30,TBR,AL,76,62,52,578.2,684,659,23,2,4,0.997,1,1,1,-3,-6,1,-1,-3,10.61,8.97,6,27,31,12,28%
29,Taylor Davis\davista01,29,CHC,NL,6,4,3,41.1,55,53,2,0,0,1,-3,-73,-3,-1,-32,0,-1,0,11.98,9.17,1,4,11,0,0%
30,Elias Diaz\diazel01,28,PIT,NL,96,75,69,706.2,753,694,47,12,5,0.984,-3,-5,-3,-23,-39,-9,-1,-11,9.44,7.72,8,34,42,15,26%
31,Nick Dini\dinini01,25,KCR,AL,20,17,15,150,125,112,12,1,1,0.992,1,7,1,-2,-17,-2,1,0,7.44,6.2,1,9,6,4,40%
32,Kyle Farmer\farmeky01,28,CIN,NL,15,9,3,81.2,82,78,3,1,0,0.988,0,5,0,0,0,0,-1,0,8.93,5.4,0,1,6,2,25%
33,Tim Federowicz\federti01,31,TEX,AL,29,23,19,208.1,211,203,4,4,0,0.981,0,0,0,0,0,1,0,-1,8.94,7.14,1,7,10,4,29%
34,Tyler Flowers\flowety01,33,ATL,NL,83,73,68,679,716,676,37,3,3,0.996,-8,-14,-8,4,7,10,0,-1,9.45,8.59,16,36,38,9,19%
35,David Freitas\freitda01,30,SEA,AL,1,1,1,9,8,8,0,0,0,1,0,-36,0,0,0,0,0,0,8,8,0,0,2,0,0%
36,Rocky Gale\galero01,31,LAD,NL,4,4,2,32,40,37,2,1,0,0.975,0,-12,0,0,0,0,0,0,10.97,9.75,0,2,2,1,33%
37,Cam Gallagher\gallaca01,26,KCR,AL,44,36,33,325,301,292,8,1,2,0.997,-2,-6,-2,1,3,2,-1,0,8.31,6.82,1,14,20,5,20%
38,Aramis Garcia\garciar01,26,SFG,NL,11,8,7,79.2,96,90,6,0,2,1,0,-7,0,0,0,1,0,0,10.85,8.73,0,8,2,1,33%
39,Dustin Garneau\garnedu01,31,TOT,MLB,34,27,23,244.1,256,239,16,1,0,0.996,2,7,2,2,9,0,1,1,9.39,7.5,1,11,15,7,32%
40,Dustin Garneau\garnedu01,31,LAA,AL,27,22,18,199.1,219,206,12,1,0,0.995,2,9,2,2,11,0,1,1,9.84,8.07,1,9,12,6,33%
41,Dustin Garneau\garnedu01,31,OAK,AL,7,5,5,45,37,33,4,0,0,1,0,-2,0,0,0,0,0,0,7.4,5.29,0,2,3,1,25%
42,Mitch Garver\garvemi01,28,MIN,AL,82,73,66,673.2,725,690,29,6,4,0.992,-4,-6,-4,0,0,1,-3,4,9.61,8.77,8,30,31,6,16%
43,Yan Gomes\gomesya01,31,WSN,NL,93,90,85,787,887,842,41,4,3,0.995,5,8,5,5,7,-4,2,2,10.1,9.49,10,21,41,18,31%
44,Yasmani Grandal\grandya01,30,MIL,NL,137,124,104,1095.2,1218,1169,41,8,10,0.993,3,4,3,1,1,9,-3,-5,9.94,8.83,8,30,73,27,27%
45,Juan Graterol\grateju01,30,CIN,NL,5,5,4,37.1,47,46,1,0,1,1,0,10,0,0,0,0,0,0,11.33,9.4,1,0,2,0,0%
46,Grayson Greiner\greingr01,26,DET,AL,58,57,57,509,506,478,23,5,2,0.99,-2,-5,-2,-1,-3,1,-3,1,8.86,8.64,4,21,38,13,25%
47,Deivy Grullon\grullde01,23,PHI,NL,2,2,2,17,21,21,0,0,0,1,0,-3,0,0,0,0,0,0,11.12,10.5,0,1,0,0,
48,Eric Haase\haaseer01,26,CLE,AL,8,2,2,26,29,27,2,0,0,1,-1,-25,-1,0,0,0,1,0,10.04,3.63,1,4,0,1,100%
49,Austin Hedges\hedgeau01,26,SDP,NL,95,93,79,813,904,858,35,11,3,0.988,0,0,0,22,32,18,0,7,9.89,9.4,2,36,24,12,33%
50,Tyler Heineman\heinety01,28,MIA,NL,2,2,2,23.1,27,26,1,0,0,1,0,16,0,0,0,0,0,0,10.41,13.5,0,1,1,1,50%
51,Chris Herrmann\herrmch01,31,OAK,AL,25,23,17,201,193,187,4,2,0,0.99,2,10,2,-2,-13,-1,-1,0,8.55,7.64,1,7,6,6,50%
52,John Hicks\hicksjo02,29,DET,AL,60,55,55,494.1,513,476,37,0,3,1,-2,-5,-2,-5,-12,-5,1,-1,9.34,8.55,3,30,37,16,30%
53,Kyle Higashioka\higasky01,29,NYY,AL,18,14,13,137,154,146,8,0,2,1,0,-1,0,2,17,2,0,0,10.12,8.56,0,7,12,3,20%
54,Bryan Holaday\holadbr01,31,MIA,NL,38,34,28,311,305,288,16,1,1,0.997,-1,-5,-1,-7,-27,-4,-2,0,8.8,8,1,14,20,5,20%
55,Nick Hundley\hundlni01,35,OAK,AL,30,23,13,195.1,179,167,12,0,0,1,-1,-6,-1,-2,-13,-1,0,0,8.25,5.97,0,12,18,5,22%
56,Chris Iannetta\iannech01,36,COL,NL,45,37,33,338.2,319,300,16,3,1,0.991,-2,-7,-2,-7,-25,-4,-1,-1,8.4,7.02,2,16,19,4,17%
57,Alex Jackson\jacksal02,23,ATL,NL,4,4,3,36,29,26,3,0,0,1,1,39,1,0,0,0,0,0,7.25,7.25,0,1,0,0,
58,Danny Jansen\janseda01,24,TOR,AL,103,94,89,852.2,854,803,47,4,8,0.995,3,4,3,12,17,5,2,5,8.97,8.25,4,41,42,19,31%
59,Caleb Joseph\josepca01,33,ARI,NL,16,11,5,97.1,94,87,6,1,2,0.989,0,2,0,1,11,0,1,0,8.6,5.81,0,7,2,3,60%
60,Carson Kelly\kellyca02,24,ARI,NL,101,85,79,785.2,849,792,49,8,2,0.991,4,6,4,2,3,1,-2,-1,9.63,8.33,4,28,32,15,32%
61,Isiah Kiner-Falefa\kineris01,24,TEX,AL,38,31,29,280.2,255,243,11,1,0,0.996,-2,-10,-2,-8,-35,-4,-1,0,8.14,6.68,4,24,12,5,29%
62,Andrew Knapp\knappan01,27,PHI,NL,43,30,27,297.1,341,311,27,3,3,0.991,1,3,1,-1,-4,-1,0,1,10.23,7.86,3,14,17,7,29%
63,Andrew Knizner\kniznan01,24,STL,NL,16,13,13,118,128,121,6,1,3,0.992,1,9,1,-2,-21,-3,1,0,9.69,7.94,0,6,1,3,75%
64,Erik Kratz\kratzer01,39,TOT,MLB,17,13,10,130,157,141,12,4,1,0.975,-1,-9,-1,-1,-9,0,0,0,10.59,9,4,5,8,3,27%
65,Erik Kratz\kratzer01,39,SFG,NL,11,9,7,88,112,101,7,4,0,0.964,-2,-22,-2,-1,-15,0,0,0,11.05,9.82,2,3,7,2,22%
66,Erik Kratz\kratzer01,39,TBR,AL,6,4,3,42,45,40,5,0,1,1,1,20,1,0,0,0,0,0,9.64,7.5,2,2,1,1,50%
67,Ryan Lavarnway\lavarry01,31,CIN,NL,5,4,4,41.2,50,46,3,1,1,0.98,-1,-22,-1,0,0,0,0,0,10.58,9.8,1,1,5,1,17%
68,Sandy Leon\leonsa01,30,BOS,AL,65,50,33,465,568,535,30,3,0,0.995,-2,-5,-2,0,0,3,-1,-1,10.94,8.69,4,20,26,7,21%
